,team,score,possession_%,shots_on_target,shots,touches,passes,tackles,clearances,corners,offsides,yellow_cards,red_cards,fouls_conceded,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg,Total keypass,Long keypass,Short keypass
0,Liverpool,2.236842105263158,63.323684210526295,6.078947368421053,15.552631578947368,815.4473684210526,628.2105263157895,14.473684210526313,15.447368421052632,6.7631578947368425,1.3947368421052628,1.0,0.02631578947368421,8.710526315789473,24,2,66,567,12.1,2.1,10.0
1,AFC Bournemouth,1.0526315789473684,43.934210526315816,3.2105263157894735,10.236842105263158,584.1842105263157,386.68421052631584,13.342105263157894,24.36842105263158,5.105263157894737,1.7631578947368418,1.947368421052632,0.07894736842105263,9.710526315789474,17,1,56,337,7.4,1.5,5.9
2,Burnley,1.131578947368421,41.463157894736845,3.5263157894736836,10.18421052631579,525.6052631578947,337.2105263157895,14.394736842105265,21.921052631578952,4.5,2.3421052631578947,1.7631578947368418,0.0,10.842105263157897,20,1,73,271,7.4,2.1,5.3
3,Crystal Palace,0.8157894736842105,41.771052631578954,3.0263157894736836,9.552631578947368,557.8157894736842,361.5789473684209,17.026315789473685,20.34210526315789,4.368421052631579,1.3421052631578947,1.5789473684210529,0.07894736842105263,10.657894736842103,16,1,58,334,7.0,1.2,5.8
4,Leicester City,1.7631578947368418,56.084210526315786,4.921052631578949,13.81578947368421,709.1842105263157,510.76315789473676,18.763157894736842,17.894736842105264,5.7368421052631575,1.6578947368421053,1.0263157894736843,0.07894736842105263,10.526315789473683,21,2,55,473,10.8,1.8,9.0
5,Tottenham Hotspur,1.6052631578947367,52.12105263157896,4.2105263157894735,11.68421052631579,692.1578947368422,490.6315789473685,17.5,22.13157894736842,5.2631578947368425,1.7368421052631582,2.1578947368421053,0.07894736842105263,11.13157894736842,17,2,55,439,8.9,1.2,7.8
6,Watford,0.9473684210526316,42.492105263157896,3.2105263157894735,11.157894736842103,561.3421052631579,370.18421052631584,17.289473684210527,21.63157894736842,4.394736842105264,1.7894736842105263,2.0,0.07894736842105263,12.657894736842106,18,0,63,312,8.0,1.3,6.7
7,West Ham United,1.2894736842105263,44.005263157894724,4.289473684210527,10.973684210526317,588.3947368421052,397.39473684210526,18.315789473684212,19.789473684210527,5.0,1.7368421052631582,1.631578947368421,0.05263157894736842,10.18421052631579,20,1,65,337,8.7,1.8,6.9
8,Manchester United,1.7368421052631582,55.96842105263158,5.684210526315789,14.31578947368421,720.0,527.8684210526316,15.26315789473684,16.5,5.368421052631579,1.4736842105263157,1.9210526315789476,0.0,11.13157894736842,17,2,49,482,10.6,1.7,8.9
9,Newcastle United,1.0,37.447368421052616,3.3421052631578947,10.18421052631579,517.2894736842105,334.7894736842105,15.447368421052632,23.921052631578952,3.8947368421052633,1.973684210526316,1.7105263157894737,0.07894736842105263,9.447368421052632,16,0,63,285,7.9,1.7,6.2
10,Arsenal,1.4736842105263157,52.09210526315789,3.9736842105263164,10.5,661.7105263157895,474.81578947368416,15.289473684210524,18.026315789473685,5.842105263157895,1.8947368421052633,2.1578947368421053,0.13157894736842105,10.578947368421053,18,2,53,444,7.9,0.9,7.0
11,Aston Villa,1.0789473684210529,43.005263157894746,3.8684210526315783,11.81578947368421,550.7631578947369,357.1315789473685,13.342105263157894,21.263157894736842,5.052631578947368,1.6052631578947367,1.7368421052631582,0.02631578947368421,11.526315789473687,21,0,63,307,9.8,1.8,8.0
12,Brighton and Hove Albion,1.0263157894736843,52.286842105263155,3.763157894736842,12.157894736842106,676.6842105263157,478.6315789473685,16.868421052631582,18.526315789473685,4.684210526315789,1.868421052631579,1.5,0.05263157894736842,10.157894736842103,18,1,59,427,9.0,1.7,7.3
13,Chelsea,1.8157894736842104,58.93157894736842,5.7105263157894735,15.86842105263158,789.3947368421052,591.3684210526316,16.57894736842105,15.26315789473684,6.289473684210527,1.6578947368421053,1.5263157894736843,0.0,9.894736842105264,23,2,57,559,12.2,2.2,10.0
14,Everton,1.1578947368421053,49.16052631578949,4.2631578947368425,12.342105263157894,615.4736842105264,416.4736842105263,17.657894736842106,19.236842105263158,5.342105263157895,1.5263157894736843,1.8421052631578947,0.07894736842105263,12.421052631578947,21,1,63,358,9.0,1.7,7.2
15,Manchester City,2.6842105263157894,66.66578947368419,7.0,19.605263157894736,874.7894736842105,692.8684210526317,13.526315789473687,12.526315789473687,7.842105263157895,1.8157894736842104,1.5789473684210529,0.10526315789473684,9.526315789473683,24,2,53,645,15.4,1.3,14.1
16,Norwich City,0.6842105263157895,48.471052631578964,3.4473684210526314,10.710526315789474,641.3157894736843,447.0526315789474,16.131578947368418,22.894736842105264,4.2368421052631575,1.2894736842105263,1.7368421052631582,0.07894736842105263,9.31578947368421,13,1,59,404,8.0,0.9,7.1
17,Sheffield United,1.0263157894736843,41.805263157894736,2.921052631578948,8.894736842105264,566.8684210526316,383.3684210526316,15.552631578947368,22.157894736842106,5.368421052631579,2.0526315789473686,1.5263157894736843,0.07894736842105263,10.421052631578947,23,0,74,323,7.1,1.7,5.4
18,Southampton,1.3421052631578947,47.571052631578944,4.657894736842105,12.63157894736842,604.7631578947369,401.5,17.94736842105263,21.236842105263158,5.2105263157894735,1.5,1.3157894736842106,0.10526315789473684,11.394736842105265,18,1,67,349,9.0,1.4,7.6
19,Wolverhampton Wanderers,1.3421052631578947,48.24210526315788,3.8947368421052633,12.13157894736842,633.3157894736843,441.15789473684214,17.0,17.157894736842106,5.078947368421051,1.2894736842105263,1.5,0.05263157894736842,10.710526315789474,19,1,68,377,8.9,1.3,7.6
